created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2021-08-01 00:57:01 UTC,5698,1,4,,696,439,683,545,360
2021-08-01 01:57:01 UTC,5699,0,4,,696,439,683,545,360
2021-08-01 02:57:01 UTC,5700,0,4,,696,439,683,545,360
2021-08-01 03:57:01 UTC,5701,1,5,,696,439,683,545,360
2021-08-01 04:57:01 UTC,5702,1,6,,696,439,683,545,360
2021-08-01 05:57:01 UTC,5703,4,10,,696,439,683,545,360
2021-08-01 06:57:01 UTC,5704,7,17,,696,439,683,545,360
2021-08-01 07:57:01 UTC,5729,10,10,,0,0,0,0,0
2021-08-01 08:57:01 UTC,5730,34,44,,0,0,0,0,0
2021-08-01 09:57:01 UTC,5731,24,68,,0,0,0,0,0
2021-08-01 10:57:01 UTC,5732,14,82,,0,0,0,0,0
2021-08-01 11:57:01 UTC,5733,17,101,,0,0,0,0,0
2021-08-01 12:57:01 UTC,5734,35,136,,0,0,0,0,0
2021-08-01 13:57:01 UTC,5735,46,182,,0,0,0,0,0
2021-08-01 14:57:01 UTC,5736,39,221,,0,0,0,0,0
2021-08-01 15:57:01 UTC,5737,20,241,,0,0,0,0,0
2021-08-01 16:57:01 UTC,5738,16,257,,0,0,0,0,0
2021-08-01 17:57:01 UTC,5739,29,286,,0,0,0,0,0
2021-08-01 18:57:01 UTC,5740,22,308,,0,0,0,0,0
2021-08-01 19:57:01 UTC,5741,10,318,,0,0,0,0,0
2021-08-01 20:57:01 UTC,5742,3,321,,0,0,0,0,0
2021-08-01 21:57:01 UTC,5743,,,321,,,,,
2021-08-01 22:57:01 UTC,5744,4,4,,329,0,0,0,0
2021-08-01 23:57:01 UTC,5745,3,7,,329,0,0,0,0
2021-08-02 00:57:01 UTC,5746,0,7,,329,0,0,0,0
2021-08-02 01:57:01 UTC,5747,1,8,,329,0,0,0,0
2021-08-02 02:57:01 UTC,5748,1,9,,329,0,0,0,0
2021-08-02 03:57:01 UTC,5749,6,15,,329,0,0,0,0
2021-08-02 04:57:01 UTC,5750,7,22,,329,0,0,0,0
2021-08-02 05:57:01 UTC,5751,13,35,,329,0,0,0,0
2021-08-02 06:57:01 UTC,5752,41,76,,329,0,0,0,0
2021-08-02 07:57:01 UTC,5753,20,100,,329,0,0,0,0
2021-08-02 08:57:01 UTC,5754,19,119,,329,0,0,0,0
2021-08-02 09:57:01 UTC,5755,14,133,,329,0,0,0,0
2021-08-02 10:57:01 UTC,5756,12,145,,329,0,0,0,0
2021-08-02 11:57:01 UTC,5757,23,168,,329,0,0,0,0
2021-08-02 12:57:01 UTC,5758,73,241,,329,0,0,0,0
2021-08-02 13:57:01 UTC,5759,75,316,,329,0,0,0,0
2021-08-02 14:57:01 UTC,5760,57,373,,329,0,0,0,0
2021-08-02 15:57:01 UTC,5761,32,407,,329,0,0,0,0
2021-08-02 16:57:01 UTC,5762,55,462,,329,0,0,0,0
2021-08-02 17:57:01 UTC,5763,41,503,,329,0,0,0,0
2021-08-02 18:57:01 UTC,5764,28,531,,329,0,0,0,0
2021-08-02 19:57:01 UTC,5765,13,545,,329,0,0,0,0
2021-08-02 20:57:01 UTC,5766,10,555,,329,0,0,0,0
2021-08-02 21:57:01 UTC,5767,,,555,,,,,
2021-08-02 22:57:01 UTC,5768,8,8,,559,329,0,0,0
2021-08-02 23:57:01 UTC,5769,1,9,,559,329,0,0,0
2021-08-03 00:57:01 UTC,5770,0,9,,559,329,0,0,0
2021-08-03 01:57:01 UTC,5771,4,13,,559,329,0,0,0
2021-08-03 02:57:01 UTC,5772,1,14,,559,329,0,0,0
2021-08-03 03:57:01 UTC,5773,2,17,,559,329,0,0,0
2021-08-03 04:57:01 UTC,5774,4,21,,559,329,0,0,0
2021-08-03 05:57:01 UTC,5775,12,33,,559,329,0,0,0
2021-08-03 06:57:01 UTC,5776,28,61,,559,329,0,0,0
2021-08-03 07:57:01 UTC,5777,18,79,,559,329,0,0,0
2021-08-03 08:57:01 UTC,5778,19,98,,559,329,0,0,0
2021-08-03 09:57:01 UTC,5779,12,110,,559,329,0,0,0
2021-08-03 10:57:01 UTC,5780,10,120,,559,329,0,0,0
2021-08-03 11:57:01 UTC,5781,34,156,,559,329,0,0,0
2021-08-03 12:57:01 UTC,5782,79,235,,559,329,0,0,0
2021-08-03 13:57:01 UTC,5783,35,270,,559,329,0,0,0
2021-08-03 14:57:01 UTC,5784,33,303,,559,329,0,0,0
2021-08-03 15:57:01 UTC,5785,28,332,,559,329,0,0,0
2021-08-03 16:57:01 UTC,5786,41,373,,559,329,0,0,0
2021-08-03 17:57:01 UTC,5787,38,411,,559,329,0,0,0
2021-08-03 18:57:01 UTC,5788,26,437,,559,329,0,0,0
2021-08-03 19:57:01 UTC,5789,8,445,,559,329,0,0,0
2021-08-03 20:57:01 UTC,5790,11,456,,559,329,0,0,0
2021-08-03 21:57:01 UTC,5791,,,456,,,,,
2021-08-03 22:56:01 UTC,5840,0,0,,0,0,0,0,0
2021-08-03 22:57:01 UTC,5792,5,5,,461,559,329,0,0
2021-08-03 23:56:01 UTC,5841,0,0,,0,0,0,0,0
2021-08-03 23:57:01 UTC,5793,1,6,,461,559,329,0,0
2021-08-04 00:56:01 UTC,5842,0,0,,0,0,0,0,0
2021-08-04 00:57:01 UTC,5794,2,8,,461,559,329,0,0
2021-08-04 01:56:01 UTC,5843,0,0,,0,0,0,0,0
2021-08-04 01:57:01 UTC,5795,0,8,,461,559,329,0,0
2021-08-04 02:56:01 UTC,5844,0,0,,0,0,0,0,0
2021-08-04 02:57:01 UTC,5796,2,10,,461,559,329,0,0
2021-08-04 03:56:01 UTC,5845,0,0,,0,0,0,0,0
2021-08-04 03:57:01 UTC,5797,4,14,,461,559,329,0,0
2021-08-04 04:56:01 UTC,5846,0,0,,0,0,0,0,0
2021-08-04 04:57:01 UTC,5798,5,19,,461,559,329,0,0
2021-08-04 05:56:01 UTC,5847,0,0,,0,0,0,0,0
2021-08-04 05:57:01 UTC,5799,11,30,,461,559,329,0,0
2021-08-04 06:56:01 UTC,5848,0,0,,0,0,0,0,0
2021-08-04 06:57:01 UTC,5800,16,46,,461,559,329,0,0
2021-08-04 07:56:01 UTC,5849,0,0,,0,0,0,0,0
2021-08-04 07:57:01 UTC,5801,23,71,,461,559,329,0,0
2021-08-04 08:56:01 UTC,5850,0,0,,0,0,0,0,0
2021-08-04 08:57:01 UTC,5802,25,96,,461,559,329,0,0
2021-08-04 09:56:01 UTC,5851,0,0,,0,0,0,0,0
2021-08-04 09:57:01 UTC,5803,18,114,,461,559,329,0,0
2021-08-04 10:56:01 UTC,5852,0,0,,0,0,0,0,0
2021-08-04 10:57:01 UTC,5804,8,122,,461,559,329,0,0
2021-08-04 11:56:01 UTC,5853,0,0,,0,0,0,0,0
2021-08-04 11:57:01 UTC,5805,43,165,,461,559,329,0,0
2021-08-04 12:56:01 UTC,5854,0,0,,0,0,0,0,0
2021-08-04 12:57:01 UTC,5806,45,210,,461,559,329,0,0
2021-08-04 13:56:01 UTC,5855,0,0,,0,0,0,0,0
2021-08-04 13:57:01 UTC,5807,32,242,,461,559,329,0,0
2021-08-04 14:56:01 UTC,5856,0,0,,0,0,0,0,0
2021-08-04 14:57:01 UTC,5808,25,267,,461,559,329,0,0
2021-08-04 15:56:01 UTC,5857,0,0,,0,0,0,0,0
2021-08-04 15:57:01 UTC,5809,26,293,,461,559,329,0,0
2021-08-04 16:56:01 UTC,5858,0,0,,0,0,0,0,0
2021-08-04 16:57:01 UTC,5810,39,332,,461,559,329,0,0
2021-08-04 17:56:01 UTC,5859,0,0,,0,0,0,0,0
2021-08-04 17:57:01 UTC,5811,35,367,,461,559,329,0,0
2021-08-04 18:56:01 UTC,5860,0,0,,0,0,0,0,0
2021-08-04 18:57:01 UTC,5812,21,388,,461,559,329,0,0
2021-08-04 19:56:01 UTC,5861,0,0,,0,0,0,0,0
2021-08-04 19:57:01 UTC,5813,5,395,,461,559,329,0,0
2021-08-04 20:56:01 UTC,5862,0,0,,0,0,0,0,0
2021-08-04 20:57:01 UTC,5814,3,398,,461,559,329,0,0
2021-08-04 21:56:01 UTC,5863,42,42,42,0,0,0,0,0
2021-08-04 21:57:01 UTC,5815,,,398,,,,,
2021-08-04 22:56:01 UTC,5873,0,0,,0,0,0,0,0
2021-08-04 22:57:01 UTC,5816,3,3,,399,461,559,329,0
2021-08-04 23:56:01 UTC,5874,0,0,,0,0,0,0,0
2021-08-04 23:57:01 UTC,5817,1,4,,399,461,559,329,0
2021-08-05 00:56:01 UTC,5875,0,0,,0,0,0,0,0
2021-08-05 00:57:01 UTC,5818,0,4,,399,461,559,329,0
2021-08-05 01:56:01 UTC,5876,0,0,,0,0,0,0,0
2021-08-05 01:57:01 UTC,5819,0,4,,399,461,559,329,0
2021-08-05 02:56:01 UTC,5877,0,0,,0,0,0,0,0
2021-08-05 02:57:01 UTC,5820,1,5,,399,461,559,329,0
2021-08-05 03:56:01 UTC,5878,0,0,,0,0,0,0,0
2021-08-05 03:57:01 UTC,5821,6,11,,399,461,559,329,0
2021-08-05 04:56:01 UTC,5879,0,0,,0,0,0,0,0
2021-08-05 04:57:01 UTC,5822,2,13,,399,461,559,329,0
2021-08-05 05:56:01 UTC,5880,0,0,,0,0,0,0,0
2021-08-05 05:57:01 UTC,5823,6,19,,399,461,559,329,0
2021-08-05 06:56:01 UTC,5881,0,0,,0,0,0,0,0
2021-08-05 06:57:01 UTC,5824,15,34,,399,461,559,329,0
2021-08-05 07:56:01 UTC,5882,0,0,,0,0,0,0,0
2021-08-05 07:57:01 UTC,5825,14,50,,399,461,559,329,0
2021-08-05 08:56:01 UTC,5883,0,0,,0,0,0,0,0
2021-08-05 08:57:01 UTC,5826,26,76,,399,461,559,329,0
2021-08-05 09:56:01 UTC,5884,0,0,,0,0,0,0,0
2021-08-05 09:57:01 UTC,5827,14,90,,399,461,559,329,0
2021-08-05 10:56:01 UTC,5885,0,0,,0,0,0,0,0
2021-08-05 10:57:01 UTC,5828,18,108,,399,461,559,329,0
2021-08-05 11:56:01 UTC,5886,0,0,,0,0,0,0,0
2021-08-05 11:57:01 UTC,5829,39,148,,399,461,559,329,0
