created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2021-11-01 00:57:01 UTC,4535,5,12,,0,0,0,0,265
2021-11-01 01:57:01 UTC,4536,2,14,,0,0,0,0,265
2021-11-01 02:57:01 UTC,4537,2,16,,0,0,0,0,265
2021-11-01 03:57:01 UTC,4538,1,17,,3.9,0,0,0,265
2021-11-01 04:57:01 UTC,4539,3,21,,0,0,0,0,265
2021-11-01 05:57:01 UTC,4540,2,23,,0,0,0,0,265
2021-11-01 06:57:01 UTC,4541,2,25,,0,0,0,0,265
2021-11-01 07:57:01 UTC,4542,12,37,,3.9,0,0,0,265
2021-11-01 08:57:01 UTC,4543,14,51,,0,0,0,0,265
2021-11-01 09:57:01 UTC,4544,10,61,,0,0,0,0,265
2021-11-01 10:57:01 UTC,4545,5,66,,0,0,0,0,265
2021-11-01 11:57:01 UTC,4546,12,78,,3.9,0,0,0,265
2021-11-01 12:57:01 UTC,4547,12,90,,0,0,0,0,265
2021-11-01 13:57:01 UTC,4548,11,101,,0,0,0,0,265
2021-11-01 14:57:01 UTC,4549,8,109,,0,0,0,0,265
2021-11-01 15:57:01 UTC,4550,10,119,,3.9,0,0,0,265
2021-11-01 16:57:01 UTC,4551,8,127,,0,0,0,0,265
2021-11-01 17:57:01 UTC,4552,4,131,,0,0,0,0,265
2021-11-01 18:57:01 UTC,4553,4,135,,0,0,0,0,265
2021-11-01 19:57:01 UTC,4554,2,137,,3.9,0,0,0,265
2021-11-01 20:57:01 UTC,4555,1,138,,0,0,0,0,265
2021-11-01 21:57:01 UTC,4556,0,138,,3.9,0,0,0,265
2021-11-01 22:57:01 UTC,4557,,,138,,,,,
2021-11-01 23:57:01 UTC,4558,3,3,,0,0,0,0,140
2021-11-02 00:57:01 UTC,4559,1,4,,0,0,0,0,140
2021-11-02 01:57:01 UTC,4560,2,6,,0,0,0,0,140
2021-11-02 02:57:01 UTC,4561,0,6,,0,0,0,0,140
2021-11-02 03:57:01 UTC,4562,0,6,,3.9,0,0,0,140
2021-11-02 04:57:01 UTC,4563,1,7,,0,0,0,0,140
2021-11-02 05:57:01 UTC,4564,1,8,,0,0,0,0,140
2021-11-02 06:57:01 UTC,4565,8,16,,0,0,0,0,140
2021-11-02 07:57:01 UTC,4566,13,29,,3.9,0,0,0,140
2021-11-02 08:57:01 UTC,4567,13,45,,0,0,0,0,140
2021-11-02 09:57:01 UTC,4568,25,70,,0,0,0,0,140
2021-11-02 10:57:01 UTC,4569,16,86,,0,0,0,0,140
2021-11-02 11:57:01 UTC,4570,17,103,,3.9,0,0,0,140
2021-11-02 12:57:01 UTC,4571,29,135,,0,0,0,0,140
2021-11-02 13:57:01 UTC,4572,31,166,,0,0,0,0,140
2021-11-02 14:57:01 UTC,4573,39,205,,0,0,0,0,140
2021-11-02 15:57:01 UTC,4574,26,231,,3.9,0,0,0,140
2021-11-02 16:57:01 UTC,4575,17,248,,0,0,0,0,140
2021-11-02 17:57:01 UTC,4576,25,273,,0,0,0,0,140
2021-11-02 18:57:01 UTC,4577,41,314,,0,0,0,0,140
2021-11-02 19:57:01 UTC,4578,27,341,,3.9,0,0,0,140
2021-11-02 20:57:01 UTC,4579,10,351,,0,0,0,0,140
2021-11-02 21:57:01 UTC,4580,11,362,,3.9,0,0,0,140
2021-11-02 22:57:01 UTC,4581,,,362,,,,,
2021-11-02 23:57:01 UTC,4582,9,9,,0,0,0,0,370
2021-11-03 00:57:01 UTC,4583,7,16,,0,0,0,0,370
2021-11-03 01:57:01 UTC,4584,0,16,,0,0,0,0,370
2021-11-03 02:57:01 UTC,4585,0,16,,0,0,0,0,370
2021-11-03 03:57:01 UTC,4586,0,16,,3.9,0,0,0,370
2021-11-03 04:57:01 UTC,4587,2,18,,0,0,0,0,370
2021-11-03 05:57:01 UTC,4588,0,18,,0,0,0,0,370
2021-11-03 06:57:01 UTC,4589,6,24,,0,0,0,0,370
2021-11-03 07:57:01 UTC,4590,5,29,,3.9,0,0,0,370
2021-11-03 08:57:01 UTC,4591,6,35,,0,0,0,0,370
2021-11-03 09:57:01 UTC,4592,2,37,,0,0,0,0,370
2021-11-03 10:57:01 UTC,4593,5,42,,0,0,0,0,370
2021-11-03 11:57:01 UTC,4594,15,57,,3.9,0,0,0,370
2021-11-03 12:57:01 UTC,4595,26,86,,0,0,0,0,370
2021-11-03 13:57:01 UTC,4596,6,92,,0,0,0,0,370
2021-11-03 14:57:01 UTC,4597,11,103,,0,0,0,0,370
2021-11-03 15:57:01 UTC,4598,19,122,,3.9,0,0,0,370
2021-11-03 16:57:01 UTC,4599,20,148,,0,0,0,0,370
2021-11-03 17:57:01 UTC,4600,14,162,,0,0,0,0,370
2021-11-03 18:57:01 UTC,4601,28,190,,0,0,0,0,370
2021-11-03 19:57:01 UTC,4602,22,212,,3.9,0,0,0,370
2021-11-03 20:57:01 UTC,4603,1,214,,0,0,0,0,370
2021-11-03 21:57:01 UTC,4604,0,214,,3.9,0,0,0,370
2021-11-03 22:57:01 UTC,4605,,,214,,,,,
2021-11-03 23:57:01 UTC,4606,2,2,,0,0,0,0,215
2021-11-04 00:57:01 UTC,4607,0,2,,0,0,0,0,215
2021-11-04 01:57:01 UTC,4608,3,5,,0,0,0,0,215
2021-11-04 02:57:01 UTC,4609,1,6,,0,0,0,0,215
2021-11-04 03:57:01 UTC,4610,0,6,,3.9,0,0,0,215
2021-11-04 04:57:01 UTC,4611,0,6,,0,0,0,0,215
2021-11-04 05:57:01 UTC,4612,2,8,,0,0,0,0,215
2021-11-04 06:57:01 UTC,4613,9,17,,0,0,0,0,215
2021-11-04 07:57:01 UTC,4614,12,29,,3.9,0,0,0,215
2021-11-04 08:57:01 UTC,4615,13,45,,0,0,0,0,215
2021-11-04 09:57:01 UTC,4616,23,68,,0,0,0,0,215
2021-11-04 10:57:01 UTC,4617,26,94,,0,0,0,0,215
2021-11-04 11:57:01 UTC,4618,11,105,,3.9,0,0,0,215
2021-11-04 12:57:01 UTC,4619,13,121,,0,0,0,0,215
2021-11-04 13:57:01 UTC,4620,16,137,,0,0,0,0,215
2021-11-04 14:57:01 UTC,4621,31,168,,0,0,0,0,215
2021-11-04 15:57:01 UTC,4622,23,191,,3.9,0,0,0,215
2021-11-04 16:57:01 UTC,4623,31,224,,0,0,0,0,215
2021-11-04 17:57:01 UTC,4624,24,248,,0,0,0,0,215
2021-11-04 18:57:01 UTC,4625,31,279,,0,0,0,0,215
2021-11-04 19:57:01 UTC,4626,16,295,,3.9,0,0,0,215
2021-11-04 20:57:01 UTC,4627,14,310,,0,0,0,0,215
2021-11-04 21:57:01 UTC,4628,10,320,,3.9,0,0,0,215
2021-11-04 22:57:01 UTC,4629,,,320,,,,,
2021-11-04 23:57:01 UTC,4630,9,9,,0,0,0,0,328
2021-11-05 00:57:01 UTC,4631,2,11,,0,0,0,0,328
2021-11-05 01:57:01 UTC,4632,1,12,,0,0,0,0,328
2021-11-05 02:57:01 UTC,4633,0,12,,0,0,0,0,328
2021-11-05 03:57:01 UTC,4634,1,13,,3.9,0,0,0,328
2021-11-05 04:57:01 UTC,4635,1,14,,0,0,0,0,328
2021-11-05 05:57:01 UTC,4636,0,14,,0,0,0,0,328
2021-11-05 06:57:01 UTC,4637,5,19,,0,0,0,0,328
2021-11-05 07:57:01 UTC,4638,16,35,,3.9,0,0,0,328
2021-11-05 08:57:01 UTC,4639,12,48,,0,0,0,0,328
2021-11-05 09:57:01 UTC,4640,19,67,,0,0,0,0,328
2021-11-05 10:57:01 UTC,4641,8,75,,0,0,0,0,328
2021-11-05 11:57:01 UTC,4642,25,100,,3.9,0,0,0,328
2021-11-05 12:57:01 UTC,4643,25,126,,0,0,0,0,328
2021-11-05 13:57:01 UTC,4644,17,143,,0,0,0,0,328
2021-11-05 14:57:01 UTC,4645,27,170,,0,0,0,0,328
2021-11-05 15:57:01 UTC,4646,23,193,,3.9,0,0,0,328
2021-11-05 16:57:01 UTC,4647,11,205,,0,0,0,0,328
2021-11-05 17:57:01 UTC,4648,18,223,,0,0,0,0,328
2021-11-05 18:57:01 UTC,4649,27,250,,0,0,0,0,328
2021-11-05 19:57:01 UTC,4650,21,271,,3.9,0,0,0,328
2021-11-05 20:57:01 UTC,4651,13,285,,0,0,0,0,328
2021-11-05 21:57:01 UTC,4652,11,296,,3.9,0,0,0,328
2021-11-05 22:57:01 UTC,4653,,,296,,,,,
2021-11-05 23:57:01 UTC,4654,9,9,,0,0,0,0,308
2021-11-06 00:57:01 UTC,4655,10,19,,0,0,0,0,308
