created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2022-10-01 00:57:01 UTC,15584,7,45,,0,0,0,0,1515
2022-10-01 01:57:01 UTC,15585,12,57,,0,0,0,0,1515
2022-10-01 02:57:01 UTC,15586,6,63,,4,0,0,0,1515
2022-10-01 03:57:01 UTC,15587,8,71,,0,0,0,0,1515
2022-10-01 04:57:01 UTC,15588,7,78,,0,0,0,0,1515
2022-10-01 05:57:01 UTC,15589,29,107,,0,0,0,0,1515
2022-10-01 06:57:01 UTC,15590,54,161,,4,0,0,0,1515
2022-10-01 07:57:01 UTC,15591,83,253,,0,0,0,0,1515
2022-10-01 08:57:01 UTC,15592,123,376,,0,0,0,0,1515
2022-10-01 09:57:01 UTC,15593,127,503,,0,0,0,0,1515
2022-10-01 10:57:01 UTC,15594,106,609,,4,0,0,0,1515
2022-10-01 11:57:01 UTC,15595,105,720,,0,0,0,0,1515
2022-10-01 12:57:01 UTC,15596,77,797,,0,0,0,0,1515
2022-10-01 13:57:01 UTC,15597,65,862,,0,0,0,0,1515
2022-10-01 14:57:01 UTC,15598,56,918,,4,0,0,0,1515
2022-10-01 15:57:01 UTC,15599,57,976,,0,0,0,0,1515
2022-10-01 16:57:01 UTC,15600,97,1073,,0,0,0,0,1515
2022-10-01 17:57:01 UTC,15601,102,1175,,0,0,0,0,1515
2022-10-01 18:57:01 UTC,15602,61,1236,,4,0,0,0,1515
2022-10-01 19:57:01 UTC,15603,38,1276,,0,0,0,0,1515
2022-10-01 20:57:01 UTC,15604,23,1299,,4,0,0,0,1515
2022-10-01 21:57:01 UTC,15605,,,1299,,,,,
